year,sex,level_of_school,length_of_service,no_of_teachers
1998,MF,PRE-UNIVERSITY,10 - 14 YEARS,272
1998,F,PRE-UNIVERSITY,10 - 14 YEARS,182
1998,MF,PRIMARY,15 - 19 YEARS,781
1998,F,PRIMARY,15 - 19 YEARS,714
1998,MF,SECONDARY,15 - 19 YEARS,1111
1998,F,SECONDARY,15 - 19 YEARS,874
1998,MF,PRE-UNIVERSITY,15 - 19 YEARS,250
1998,F,PRE-UNIVERSITY,15 - 19 YEARS,175
1998,MF,PRIMARY,20 - 24 YEARS,306
1998,F,PRIMARY,20 - 24 YEARS,245
1998,MF,SECONDARY,20 - 24 YEARS,548
1998,F,SECONDARY,20 - 24 YEARS,409
1998,MF,PRE-UNIVERSITY,20 - 24 YEARS,133
1998,F,PRE-UNIVERSITY,20 - 24 YEARS,98
